Station ID,Neighborhood,City,Station Type,lat,lon,height,zipcode
IGELDERL29,Weerstation Aalten ,Aalten ,tfa nexus ,51.924,6.574,25.0,7122 WS
IGELDERL5,Apeldoorn ,Apeldoorn ,WMR918 ,52.208,5.937,20.0,7312 CW
IGELDERL60,Apeldoorn ,Apeldoorn ,WS4000 ,52.22,6.001,10.0,7325 XV
IGELDERL76,Apeldoorn (Zuidwest) ,Apeldoorn ,City ,52.2,5.955,21.0,7335 LD
IGELDERL99, ,Apeldoorn ,Oregon WMR200 ,52.195,5.95,21.0,7335 JN
IGELDERL72,Presikhaaf ,Arnhem ,Davis Vantage Pro2 (Wireless) ,51.987,5.945,10.0,6826 CC
IGELDERL84,Plattenburg ,Arnhem ,LaCrosse WS2800 ,51.987,5.937,17.0,unknown
IGELDERL89,Beuningen ,Beuningen ,VantagePro2 ,51.859,5.785,9.0,6641 JS
IGELDERL25,Borculo ,Borculo ,Davis Vantage Pro2 (Wireless) ,52.114,6.511,10.0,7271 GC
IGELDERL53, ,Boven-Leeuwen ,Vantage Pro2 Plus ,51.88,5.556,6.0,6657 AS
IGELDERL66,Culemborg ,Culemborg ,Davis Vantage Pro 2 Wireless ,51.954,5.208,4.0,4105 XZ
IGELDERL27,Doetinchem-Vijverberg ,Doetinchem ,Vantage Pro ,51.95,6.31,13.0,7004 BP
IGELDERL95,Wijnboerderij 't Heekenbroek ,Drempt ,Davis VP ,52.02,6.194,7.0,6996 DZ
IGELDERL83,Weerstation Eefde ,Eefde ,Davis Vantage Vue and Vantage Pro2 ,52.174,6.227,7.0,7211 DP
IGELDERL70,NW Veluwe ,Elburg , ,52.451,5.858,0.0,8081 NA
IGELDERL71,Ermelo (centre) ,Ermelo ,WMR-200 ,52.298,5.623,14.0,3851 KA
IGELDERL75,Camping in de Rimboe ,Ermelo ,WMR100 ,52.292,5.651,32.0,3852 ZD
IGELDERL104,Hattem ,Hattem ,La Crosse 2800IT ,52.468,6.072,4.0,8051 DB
IGELDERL142,Hattemerbroek ,Hattemerbroek ,Davis Vantage Pro2 (Wireless) ,52.471,6.014,3.0,8094 PA
IGELDERL37, ,Hengelo gld ,Davis Vantage Pro 2 ,52.046,6.313,13.0,7255 XE
IGELDERL86,Homoet ,Homoet ,Davis Vantage Pro 2 ,51.939,5.787,6.0,6661 LB
IGELDERL65,Weerstation Nijbroek ,Nijbroek ,Davis Vantage Pro2 (Wireless) ,52.288,6.056,3.0,7397 NB
IGELDERL64,Nijmegen ,Nijmegen , ,51.844,5.875,39.0,6522 AT
IGELDERL63, ,Nijmegen ,Davis Vantage Pro 2 Plus ,51.837,5.839,15.0,6542 KN
IGELDERL103,mOoijweer ,Ooij ,other ,51.859,5.934,10.0,6576 AD
IGELDERL82, ,Opheusden ,Vantage Pro ,51.927,5.635,7.0,4043 MZ
IGELDERL153,Camping Lorkenbos ,Otterlo ,other ,52.091,5.764,25.0,unknown
IGELDERL54,Andelst ,Overbetuwe ,Vantage Pro 2 Wireless ,51.907,5.731,7.0,6673 BW
IGELDERL74,Ruurlosebroek ,Ruurlo , ,52.065,6.515,15.0,7261 RK
I90579508,Silvolde ,Silvolde ,Davis Vantage Pro2 (Wireless) ,51.904,6.39,17.0,7064 BW
IGELDERL81,Isendoorn College ,Warnsveld ,Davis Vantage Pro ,52.135,6.224,7.0,unknown
IGELDERL98, ,Wijchen ,stadsstation ,51.816,5.726,10.0,6601 CC
IGELDERL145,Zoelen ,Zoelen ,Netatmo Weather Station ,51.916,5.398,4.0,4011 EN
IGELDERL79,Tuin/Terras temp. Eefde ,Zutphen ,Fine Offset WS-1080 ,52.144,6.196,7.0,7201 MR
IGLDHETE2, ,Heteren ,Davis Vantage Vue ,51.956,5.749,7.0,6666 HK
IGLDNUNS2,Nunspeet ,Nunspeet ,Fine Offset WH1080 ,52.39,5.798,3.0,8072 HK
IGELDERL73,Weerstation Elburg (Vesting-Centrum). ,Elburg ,other ,52.449,5.832,4.0,8081 GG
IGROOTEG1,Weerstation Grootegast ,Grootegast ,Oregon WMR 200 ,53.21,6.28,0.0,9861 GG
IGRONING51,op 't Zandt ,'t Zandt ,TFA Primus ,53.368,6.773,0.0,unknown
IGRONING103,Bourtange ,Bourtange ,other ,53.012,7.183,3.0,9545 TB
IGRONING45,"Groningen, Ulgersmaborg ",Groningen ,Davis Vantage Pro2 Plus ,53.232,6.604,0.0,9731 JP
IGRONING41,Beijum-West ,Groningen-Beijum ,Alecto WS-4000 ,53.249,6.584,0.0,9737 PZ
IGRONING52,Hoogezand ,Hoogezand ,Davis Vantage Pro2 ,53.159,6.759,7.0,9603 AV
IGRONING39,Musselkanaal ,Musselkanaal ,vantage pro 2 ,52.943,6.995,7.0,9581 TA
IGRONING47,www.WeerSappemeer.nl ,Sappemeer-Noord ,Davis Vantage Pro2 ,53.173,6.794,0.0,9611 BT
IGRONING36,Groningen ,Sauwerd ,Davis Vantage Pro2 ,53.294,6.538,0.0,9771 AX
IGRONING16, ,Uithuizermeeden ,Davis Pro2 ,53.418,6.726,0.0,9982 JG
IGRONING42,Uithuizermeeden-actueel ,Uithuizermeeden ,Davis VP2 Solar UV ,53.415,6.721,1.0,9982 HB
IGRONING120,Veele ,Veele ,other ,53.043,7.095,0.0,9541 VM
IGRONING56,Veendam ,Veendam ,WS-4000 ,53.105,6.859,2.0,9642 NE
IJABOSKA2,Boskamp ,Boskamp ,Campbell Scientific ,52.331,6.128,0.0,8121 CW
ILIMBURG46,Bunde ,Bunde ,Davis Vantage Pro 2 Wireless ,50.892,5.739,65.0,6241 GJ
ILIMBURG62,Weerstation Geleen ,Geleen ,other ,50.966,5.816,68.0,6161 XT
ILIMBURG40, ,Haelen ,Davis VP2 Plus ,51.224,5.965,27.0,unknown
ILIMBURG73,Musschemig ,Heerlen ,Davis Vantige Vue ,50.901,5.97,95.0,6412 SL
ILIMBURG37,Hoensbroek ,Hoensbroek ,TFA Nexus Pro ,50.91,5.933,85.0,6433 HD
ILIMBURG6,"Montfort, The Netherlands ",Montfort ,Weather Monitor II ,51.125,5.95,27.0,6065 BZ
ILIMBURG55,Panningen ,Panningen ,Oregon Scientific WMR-200 ,51.326,5.986,35.0,5981 EP
