Station ID,Neighborhood,City,Station Type,lat,lon,height,zipcode
IUTRECHT56, ,Utr. Heuvelrug , ,52.07,5.38,8.0,unknown
IUTRECHT39,NMU-Wageningen University ,Utrecht ,urban ,52.094,5.1,1.0,3532 VP
IUTRECHT60,Parkwijk Leidsche Rijn ,Utrecht ,Davis Vantage Pro2 Plus (Wireless) ,52.09,5.062,6.0,3544 BE
IUTRECHT125,Rivierenwijk ,Utrecht ,Netatmo Weather Station ,52.07,5.116,3.0,3522 GL
IUTRECHT57,Meesvink ,Veenendaal ,oregon WMR 200 ,52.031,5.53,0.0,unknown
IUTRECHT21,Weerstation-Wijk.nl ,Wijk Bij Duurstede ,Vantage Pro 2 Wireless with UV / Solar ,51.971,5.332,4.0,3961 KX
IUTRECHT65,Behuizing ,Wijk Bij Duurstede ,Davis Pro2 ,51.975,5.325,9.0,3961 XL
IUTRECHT24,Woerden ,Woerden ,Davis Vantage Vue (Wireless) ,52.086,4.846,0.0,unknown
IUTRECHT47,Woerden . Barwoutswaarder ,Woerden ,Davis Vantage Pro2 Plus (Wireless) ,52.077,4.831,0.0,3449 HK
IZEELAND4,Goes-West ,Goes ,Oregon Scientific WMR-918 ,30.875,51.5,-3047.0,unknown
IZEELAND38,Heinkenszand ,Heinkenszand ,Alinco WS-4000 ,51.474,3.817,3.0,4451 AJ
IZEELAND25,Hoedekenskerke ,Hoedekenskerke ,other ,51.427,-356.098,0.0,unknown
IZEELAND55,Groote Kreek ,Hulst ,Netatmo Weather Station ,51.275,4.072,0.0,4562 BJ
IZEELAND34,Kloosterse wind ,Kloosterzande ,Davis Vantage Vue ,51.366,4.011,3.0,4587 GA
IZEELAND16,PROOIJENSPARK ,MIDDELBURG ,tfa nexus ,51.52,3.61,2.0,4333 RA
IZEELAND35,Middelburg NO VTR ,Middelburg ,Davis Vantage Pro2 ,51.516,3.65,-2.0,unknown
IZEELAND8,Schouwen Duiveland ,Nieuwerkerk ,LaCrosse WS 3600 ,51.648,3.994,-3.0,4306 BR
IZEELAND36,Kalkoensprenk ,Vlissingen ,WS5000 ,51.465,3.578,0.0,4386 DD
IZEELAND5,Wolphaartsdijk ,Wolphaartsdijk ,Davis Vantage pro2 uv solar ,51.536,3.815,1.0,4471 BK
IZHBLEIS1,Meteo Bleiswijk ,Bleiswijk ,Davis Vantage Pro 2 ,52.012,4.546,-7.0,2665 WH
IZHHELLE2,Meteo Hellevoetsluis ,Hellevoetsluis ,Vantage Pro-II ,51.838,4.162,0.0,3225 GN
IZHLEIDE2,Zusterhof Leiden ,Leiden ,WH-4000 ,52.154,4.491,0.0,2311 PS
IZHOUDBE2, ,Oud-Beijerland ,DAVIS Vantage VUE ,51.819,4.429,2.0,3261 SC
IZHROTTE3,Steins Weer Site ,Rotterdam , ,51.941,4.546,0.0,3067 TG
IZHVLIST2, ,Vlist ,Davis VP2 pro ,51.96,4.846,0.0,2855 AA
IZUIDHOL131, ,Alphen A/d Rijn , ,52.156,4.649,-3.0,2401 MG
IZUIDHOL143,Gorinchem ,Gorinchem ,VP2 ,51.837,5.002,2.0,4207 TB
IZUIDHOL19, ,Leiderdorp ,Davis Vantage Vue ,52.162,4.54,0.0,2353 JM
IZUIDHOL138, ,Nieuwerkerk Aan Den Ijssel ,davis vantage pro2 ,51.974,4.623,-7.0,2914 PG
IZUIDHOL144,Vrouwtjeslant Nieuweveen ,Nootdorp ,Oregon Scientific WMR200 uv ,52.051,4.402,0.0,unknown
IZUIDHOL34,Weerstation Ridderkerk ,Ridderkerk ,Cresta WXR815 ,51.86,4.605,0.0,2985 SB
IZUIDHOL125,City station surrounded by some trees ,Rijswijk ,Davis Vantage Pro2 (Wireless) ,52.06,4.34,3.0,2281 TH
IZUIDHOL110,Rozenburg ,Rozenburg ,TFA 35.1099 ,51.904,4.234,0.0,3181 RD
IZUIDHOL88, ,Zoetermeer ,CRESTA WXR-815LM ,52.046,4.468,-4.0,2719 KD
IZUIDHOL94,Westland ,'s-Gravenzande ,La Crosse Technology WS 3600 ,52.001,4.174,0.0,2691 WD
IZUIDHOL36,Weerstation PB2RDF ,Capelle Aan Den IJssel ,Davis Vantage Pro2 Plus 24hr fan 6163EU ,51.95,4.571,4.0,2907 TH
IZUIDHOL25,Loosduinen ,Den Haag ,Davis Vantage Pro2 Plus Wireless ,52.045,4.237,7.0,2553 NC
IZUIDHOL92,Wateringse Veld ,Den Haag ,Davis Vantage Vue ,52.03,4.29,0.0,2548 HL
IZUIDHOL109,Den Haag ,Den Haag ,Davis Vantage Pro-II ,52.081,4.27,6.0,2565 MK
IZUIDHOL48,Goeree Overflakkee ,Goedereede ,Vantage Pro2 Plus ,51.815,3.979,0.0,3252 LR
IZUIDHOL99, ,Heerjansdam ,Davis Vantage Pro2 ,51.837,4.57,0.0,2995 VD
IZUIDHOL115,Weerstation Heinenoord ,Heinenoord ,Davis Vantage Pro2 (Wireless) ,51.814,4.51,0.0,3274 LV
IZUIDHOL123,Hoek van Holland ,Hoek Van Holland ,Davis Vantage Pro2 ,51.976,4.145,0.0,3151 RP
IZUIDHOL112,Lisse ,Lisse ,Davis Vantage Vue ,52.265,4.558,7.0,2161 AD
IZUIDHOL181,Boumare aan de Vliet ,Maasland ,Netatmo Weather Station ,51.931,4.278,-3.0,unknown
IZUIDHOL120,Goeree-Overflakkee ,Middelharnis ,Davis Vantage Pro 2 Plus ,51.754,4.159,10.0,3241 KC
IZUIDHOL108,Westlands Weer ,Monster ,Davis Vantage Pro2 ,52.024,4.168,10.0,2681 XS
IZUIDHOL141,Westland ,MONSTER ,Davis Vantage Pro 2 ,52.039,4.2,0.0,2681 PG
IZUIDHOL93,Noorden ,Noorden ,Davis Vantage Pro 2 ,52.168,4.826,-3.0,2431 ZD
IZUIDHOL78, ,Noordwijk ,wh1080 ,52.24,4.447,1.0,2201 PV
IZUIDHOL118,Noordwijk ,Noordwijk ,WS-4000 v3 ,52.236,4.459,15.0,unknown
IZUIDHOL61, ,Oud-Beijerland ,Davis Vantage Pro2 (Wireless) ,51.827,4.419,0.0,3261 EL
IZUIDHOL47,Goeree Overflakkee ,Ouddorp-Zuid ,Vantage Pro2 Plus ,51.807,3.941,0.0,3253 EB
IZUIDHOL80, ,Poeldijk ,TFA Nexus Pro (Class Str) ,52.025,4.228,0.0,2685 RK
IHAZERSW1,Hazerswoude-Dorp ,Rijnwoude ,TFA Primus (WS2800) ,52.096,4.592,0.0,2391 DA
IZUIDHOL136,Kralingseveer ,ROTTERDAM ,Easyweather WS-4000 ,51.91,4.553,0.0,unknown
IZUIDHOL87,Rotterdam Beverwaard ,Rotterdam Beverwaard ,Davis VP2 ,51.895,4.568,5.0,unknown
IZUIDHOL106,Liesveld ,Streefkerk ,Davis Vantage Pro 2 Plus ,51.899,4.748,-2.0,2959 CL
IZUIDHOL29,Weerstation Strijen ,Strijen ,Davis Vantage Pro2 Wireless ,51.74,4.548,0.0,3291 VB
IZUID-HO15,WeerZoetermeer.nl ,Zoetermeer ,Davis Vantage Pro2 Plus ,52.072,4.511,-3.0,2727 GM
IZUIDHOL107,Zoetermeer ,Zoetermeer ,Davis VP2 ,52.033,4.497,-7.0,unknown
IZUIDHOL137,Zuidland ,Zuidland ,Davis pro 2 ,51.812,4.283,1.0,3214 LH
IZUIDHOL104,Tweemanspolder ,Zuidplas (kern Moerkapelle) ,Alecto WS-4000 ,52.041,4.576,-3.0,2752 BG
IZUIDHOL97, ,Zwijndrecht ,Alecto WS4000 ,51.817,4.649,0.0,3331 XA
